res_15_gp_id,block,gp,district,merge10gp
1943,bhiyaanv,mahamadpur odarpur,ambedkar nagar,0
1944,bhiyaanv,mahamudpur,ambedkar nagar,0
1945,bhiyaanv,mahuval,ambedkar nagar,0
1946,bhiyaanv,majagavaan,ambedkar nagar,0
1947,bhiyaanv,makhdumpur,ambedkar nagar,0
1948,bhiyaanv,mandahaan,ambedkar nagar,0
1949,bhiyaanv,marahara,ambedkar nagar,0
1950,bhiyaanv,masodha,ambedkar nagar,0
1951,bhiyaanv,mathia,ambedkar nagar,0
1952,bhiyaanv,mathura rasulpur,ambedkar nagar,0
1953,bhiyaanv,mirzapur,ambedkar nagar,0
1954,bhiyaanv,mundehra,ambedkar nagar,0
1955,bhiyaanv,muskaraai,ambedkar nagar,0
1956,bhiyaanv,nevadakala,ambedkar nagar,0
1957,bhiyaanv,nimatini,ambedkar nagar,0
1958,bhiyaanv,nonhar,ambedkar nagar,0
1959,bhiyaanv,nurpurkala,ambedkar nagar,0
1960,bhiyaanv,pabhipur,ambedkar nagar,0
1961,bhiyaanv,packuli,ambedkar nagar,0
1962,bhiyaanv,pakkhanpur,ambedkar nagar,0
1963,bhiyaanv,parvatpur,ambedkar nagar,0
1964,bhiyaanv,phulwari,ambedkar nagar,0
1965,bhiyaanv,pindoriya,ambedkar nagar,0
1966,bhiyaanv,pooraavadalhi,ambedkar nagar,0
1967,bhiyaanv,pratappurkala,ambedkar nagar,0
1968,bhiyaanv,rajapur,ambedkar nagar,0
1969,bhiyaanv,ramgarh,ambedkar nagar,0
1970,bhiyaanv,randuli,ambedkar nagar,0
1971,bhiyaanv,ratana,ambedkar nagar,0
1972,bhiyaanv,sabargah,ambedkar nagar,0
1973,bhiyaanv,sakara dakshin,ambedkar nagar,0
1974,bhiyaanv,sehari,ambedkar nagar,0
1975,bhiyaanv,semra,ambedkar nagar,0
1976,bhiyaanv,shahpur,ambedkar nagar,0
1977,bhiyaanv,shekhpur paliwari,ambedkar nagar,0
1978,bhiyaanv,shivpal,ambedkar nagar,0
1979,bhiyaanv,udayapur ohmadpur,ambedkar nagar,0
1980,bhiyaanv,vallipur,ambedkar nagar,0
1985,jahangirganj,asanaaraa,ambedkar nagar,0
1987,jahangirganj,bachuapaar,ambedkar nagar,0
1989,jahangirganj,bairibujurg,ambedkar nagar,0
1997,jahangirganj,bhupatipur kodraha,ambedkar nagar,0
1998,jahangirganj,birkhet,ambedkar nagar,0
2008,jahangirganj,dubauli,ambedkar nagar,0
2012,jahangirganj,ganpatpur,ambedkar nagar,0
2017,jahangirganj,hemarajpur,ambedkar nagar,0
2023,jahangirganj,jaiti,ambedkar nagar,0
2024,jahangirganj,jallaapur,ambedkar nagar,0
2027,jahangirganj,jotpur jolhapur,ambedkar nagar,0
