district,block,res_15_gp,res_15_gp_id,merge10gp,res_10_gp,res_10_gp_id,res_10_block
ambedkar nagar,basakhaari,singhpur,1796,0,,,
ambedkar nagar,basakhaari,sonhan,1797,0,,,
ambedkar nagar,basakhaari,tandva darab,1799,0,,,
ambedkar nagar,basakhaari,umarapur,1803,0,,,
ambedkar nagar,bhiti,basoopur baniyaani,1813,0,,,
ambedkar nagar,bhiti,bathua,1815,0,,,
ambedkar nagar,bhiti,daaridiha,1827,0,,,
ambedkar nagar,bhiti,darbpur,1829,0,,,
ambedkar nagar,bhiti,goitha,1833,0,,,
ambedkar nagar,bhiti,jaitpur khaas,1838,0,,,
ambedkar nagar,bhiti,jaitupur,1840,0,,,
ambedkar nagar,bhiti,kichhuti,1848,0,,,
ambedkar nagar,bhiti,mahamudpur,1853,0,,,
ambedkar nagar,bhiti,medva raghuvanshi,1857,0,,,
ambedkar nagar,bhiti,nagahara,1862,0,,,
ambedkar nagar,bhiti,pichhawaara khaas,1871,0,,,
ambedkar nagar,bhiti,raniva rudu,1876,0,,,
ambedkar nagar,bhiti,sammanpur chhituniya,1882,0,,,
ambedkar nagar,bhiti,sanjwa,1883,0,,,
ambedkar nagar,bhiti,saraijangal,1884,0,,,
ambedkar nagar,bhiti,siganvan purushottam pattee,1889,0,,,
ambedkar nagar,bhiti,thariyakala,1893,0,,,
ambedkar nagar,bhiti,vangov,1896,0,,,
ambedkar nagar,bhiyaanv,ahiroli,1898,0,,,
ambedkar nagar,bhiyaanv,ajamalpur,1899,0,,,
ambedkar nagar,bhiyaanv,amadaheen,1900,0,,,
ambedkar nagar,bhiyaanv,ambarpur,1901,0,,,
ambedkar nagar,bhiyaanv,ashapar,1902,0,,,
ambedkar nagar,bhiyaanv,babura,1903,0,,,
ambedkar nagar,bhiyaanv,bandipur,1904,0,,,
ambedkar nagar,bhiyaanv,barauna,1905,0,,,
ambedkar nagar,bhiyaanv,begikol,1906,0,,,
ambedkar nagar,bhiyaanv,berga,1907,0,,,
ambedkar nagar,bhiyaanv,berma,1908,0,,,
ambedkar nagar,bhiyaanv,bheekhpur khurd,1909,0,,,
ambedkar nagar,bhiyaanv,bhitaura dakshin,1910,0,,,
ambedkar nagar,bhiyaanv,bhiyaanw,1911,0,,,
ambedkar nagar,bhiyaanv,bhujaagi,1912,0,,,
ambedkar nagar,bhiyaanv,bibipur,1913,0,,,
ambedkar nagar,bhiyaanv,bodara,1914,0,,,
ambedkar nagar,bhiyaanv,chakiya,1915,0,,,
ambedkar nagar,bhiyaanv,chakura,1916,0,,,
ambedkar nagar,bhiyaanv,channpur,1917,0,,,
ambedkar nagar,bhiyaanv,chaudaaprash,1918,0,,,
ambedkar nagar,bhiyaanv,daulatabad,1919,0,,,
ambedkar nagar,bhiyaanv,dhakha,1920,0,,,
ambedkar nagar,bhiyaanv,dinakarpur,1921,0,,,
ambedkar nagar,bhiyaanv,dulhoopurkala,1922,0,,,
ambedkar nagar,bhiyaanv,eendhana,1923,0,,,
ambedkar nagar,bhiyaanv,fatepur manikpur,1924,0,,,
ambedkar nagar,bhiyaanv,garopur,1925,0,,,
ambedkar nagar,bhiyaanv,gaura paliwari,1926,0,,,
ambedkar nagar,bhiyaanv,gauribadah,1927,0,,,
ambedkar nagar,bhiyaanv,gopri chandpur,1928,0,,,
ambedkar nagar,bhiyaanv,govindpur,1929,0,,,
ambedkar nagar,bhiyaanv,hafizpur,1930,0,,,
ambedkar nagar,bhiyaanv,jagadishpur kapileshwar,1931,0,,,
ambedkar nagar,bhiyaanv,jaitpur,1932,0,,,
ambedkar nagar,bhiyaanv,jameen surajoopur,1933,0,,,
ambedkar nagar,bhiyaanv,jolhapur,1934,0,,,
ambedkar nagar,bhiyaanv,karimnagar,1935,0,,,
ambedkar nagar,bhiyaanv,khanpur husainabad,1936,0,,,
ambedkar nagar,bhiyaanv,kishnupur kavirahaan,1937,0,,,
ambedkar nagar,bhiyaanv,kishundaspur,1938,0,,,
ambedkar nagar,bhiyaanv,lakhmipur,1939,0,,,
ambedkar nagar,bhiyaanv,laviya,1940,0,,,
ambedkar nagar,bhiyaanv,madhavpur,1941,0,,,
ambedkar nagar,bhiyaanv,madhwarpur,1942,0,,,
ambedkar nagar,bhiyaanv,mahamadpur odarpur,1943,0,,,
